"A00","Colera"
"E750","Gangliosidosi GM2"
"E751","Altre gangliosidosi"
"E752","Altre sfingolipidosi"
"E753","Sfingolipidosi non specificata"
"E754","Idiozia amaurotica"
"E755","Altre tesaurismosi lipidiche"
"E756","Tesaurismosi lipidica non specificata"
"E760","Mucopolisaccaridosi, tipo I"
"E761","Mucopolisaccaridosi, tipo II"
"E762","Altre mucopolisaccaridosi"
"E763","Mucopolisaccaridosi non specificata"
"E768","Altri disturbi del metabolismo dei glicosaminoglicani"
"E769","Disturbo del metabolismo dei glicosaminoglicani non specificato"
"E770","Difetti nella modificazione post translazionale degli enzimi lisosomiali"
"E771","Difetti della degradazione delle glicoproteine"
"E778","Altri disturbi del metabolismo della glicoproteina"
"E779","Disturbo del metabolismo delle glicoproteine non specificato"
"E780","Ipercolesterolemia pura"
"E781","Ipertrigliceridemia pura"
"E782","Iperlipidemie miste"
"E783","Iperchilomicronemia"
"E784","Altra iperlipidemia"
"E785","Iperlipidemia non specificata"
"E786","Deficit lipoproteico"
"E788","Altri disturbi del metabolismo delle lipoproteine"
"E789","Disturbo del metabolismo delle lipoproteine non specificato"
"E790","Iperuricemia senza segni di artrite acuta infiammatoria e tofacea"
"E791","Sindrome di Lesch Nyhan"
"E798","Altri disturbi del metabolismo purinico e pirimidinico"
"E799","Disturbo del metabolismo purinico e pirimidinico non specificato"
"E800","Porfiria eritropoietica ereditaria"
"E801","Porfiria cutanea tardiva"
"E802","Altra porfiria"
"E803","Deficit di catalasi e perossidasi"
"E804","Sindrome di Gilbert"
"E805","Sindrome di Crigler Najjar"
"E806","Altri disturbi del metabolismo bilirubinico"
"E807","Disturbo del metabolismo bilirubinico non specificato"
"E830","Disturbi del metabolismo del rame"
"E831","Disturbi del metabolismo del ferro"
"E832","Disturbi del metabolismo dello zinco"
"E833","Disturbi del metabolismo del fosforo"
"E834","Disturbi del metabolismo del magnesio"
"E835","Disturbi del metabolismo del calcio"
"E838","Altri disturbi del metabolismo dei minerali"
"E839","Disturbo del metabolismo minerale non specificato"
"E840","Fibrosi cistica con manifestazioni polmonari"
"E841","Fibrosi cistica con manifestazioni intestinali"
"E848","Fibrosi cistica con altre manifestazioni"
"E849","Fibrosi cistica non specificata"
"E850","Amiloidosi eredofamiliare non neuropatica"
"E851","Amiloidosi eredofamiliare neuropatica"
"E852","Amiloidosi eredofamiliare non specificata"
"E853","Amiloidosi sistemica secondaria"
"E854","Amiloidosi limitata ad un organo"
"E858","Altra amiloidosi"
"E859","Amiloidosi non specificata"
"E860","Ipovolemia"
"E870","Iperosmolarita' e ipernatriemia"
"E871","Ipoosmolarita' e iponatriemia"
"E872","Acidosi"
"E873","Alcalosi"
"E874","Disturbo misto dell'equilibrio acido basico"
"E875","Iperkaliemia"
"E876","Ipokaliemia"
"E877","Eccesso di fluidi"
"E878","Altri disturbi dei liquidi, degli elettroliti e dell’equilibrio acido base, non"
"E880","Disturbi del metabolismo delle plasmaproteine non classificati altrove"
"E881","Lipodistrofia non classificata altrove"
"E882","Lipomatosi non classificata altrove"
"E888","Altri disturbi metabolici specificati"
"E889","Disturbo metabolico non specificato"
"E890","Ipotiroidismo iatrogeno"
"E891","Ipoinsulinemia iatrogena"
"E892","Ipoparatiroidismo iatrogeno"
"E893","Ipopituitarismo iatrogeno"
"E894","Insufficienza ovarica iatrogena"
"E895","Ipofunzione testicolare iatrogena"
"E896","Ipofunzione cortico( midollo )surrenalica iatrogena"
"E898","Altri disturbi endocrini e metabolici iatrogeni"
"E899","Disturbo endocrino e metabolico iatrogeno non specificato"
"E900","Disturbi nutrizionali e metabolici in malattie classificate altrove"
"F000","Demenza nella malattia di Alzheimer ad esordio precoce (G30 0 )"
"F001","Demenza nella malattia di Alzheimer ad esordio tardivo (G30 1 )"
"F002","Demenza nella malattia di Alzheimer, varieta' atipica o mista (G30 8 )"
"F009","Demenza nella malattia di Alzheimer non specificata (G30 9 )"
"F010","Demenza vascolare ad esordio acuto"
"F011","Demenza multi infartuale"
"F012","Demenza vascolare sub corticale"
"F013","Demenza vascolare mista corticale e subcorticale"
"F018","Altra demenza vascolare"
"F019","Demenza vascolare non specificata"
"F020","Demenza nella malattia di Pick (G31 0 )"
"F021","Demenza nella malattia di Creutzfeldt Jacob (A81 0 )"
"F022","Demenza nella malattia di Huntington (G10 )"
"F023","Demenza nel morbo di Parkinson (G20 )"
"F024","Demenza nell’infezione da virus dell’immunodeficienza umana (H I V ) (B22 0 )"
"F028","Demenza in altre malattie specificate classificate altrove"
"F030","Demenza non specificata"
"F040","Sindrome amnesica organica, non indotta da alcol o da altre sostanze psicoattive"
"F050","Delirium descritto come non sovrapposto a demenza"
"F051","Delirium sovrapposto a demenza"
"F058","Altro delirium"
"F059","Delirium non specificato"
"F060","Allucinosi organica"
"F061","Disturbo catatonico organico"
"F062","Disturbo delirante organico (schizofreniforme)"
"F063","Disturbi dell’umore (affettivi) organici"
"F064","Disturbo d’ansia organico"
"F065","Disturbo dissociativo organico"
"F066","Disturbo organico di labilita' emozionale (astenico)"
"F067","Disturbo cognitivo lieve"
"F068","Altri disturbi mentali organici dovuti a lesione o disfunzione cerebrale o a malattia somatica"
"F069","Disturbo mentale organico non specificato dovuto a lesione, disfunzione cerebrale e a malattia somatica"
"F070","Disturbo organico di personalita'"
"F071","Sindrome post encefalitica"
"F072","Sindrome post commotiva"
"F078","Altro disturbo organico della personalita' e del comportamento da malattia, danno e disfunzione cerebrali"
"F079","Disturbo organico della personalita' e del comportamento non specificato"
"F090","Disturbi psichici organici o sintomatici non specificati"
"F100","Intossicazione acuta"
"F101","Uso dannoso"
"F102","Sindrome di dipendenza"
"F103","Stato di astinenza"
"F104","Stato di astinenza con delirium"
"F105","Disturbo psicotico"
"F106","Sindrome amnesica"
"F107","Disturbo psicotico residuo o ad esordio tardivo"
"F108","Altri disturbi psichici e comportamentali"
"F109","Disturbi psichici e comportamentali non specificati"
"F110","Intossicazione acuta"
"F111","Uso dannoso"
"F112","Sindrome di dipendenza"
"F113","Stato di astinenza"
"F114","Stato di astinenza con delirium"
"F115","Disturbo psicotico"
"F116","Sindrome amnesica"
"F117","Disturbo psicotico residuo o ad esordio tardivo"
"F118","Altri disturbi psichici e comportamentali"
"F119","Disturbi psichici e comportamentali non specificati"
"F120","Intossicazione acuta"
"F121","Uso dannoso"
"F122","Sindrome di dipendenza"
"F123","Stato di astinenza"
"F124","Stato di astinenza con delirium"
"F125","Disturbo psicotico"
"F126","Sindrome amnesica"
"F127","Disturbo psicotico residuo o ad esordio tardivo"
"F128","Altri disturbi psichici e comportamentali"
"F129","Disturbi psichici e comportamentali non specificati"
"F130","Intossicazione acuta"
"F131","Uso dannoso"
"F132","Sindrome di dipendenza"
"F133","Stato di astinenza"
"F134","Stato di astinenza con delirium"
"F135","Disturbo psicotico"
"F136","Sindrome amnesica"
"F137","Disturbo psicotico residuo o ad esordio tardivo"
"F138","Altri disturbi psichici e comportamentali"
"F139","Disturbi psichici e comportamentali non specificati"
"F140","Intossicazione acuta"
"F141","Uso dannoso"
"F142","Sindrome di dipendenza"
"F143","Stato di astinenza"
"F144","Stato di astinenza con delirium"
"F145","Disturbo psicotico"
"F146","Sindrome amnesica"
"F147","Disturbo psicotico residuo o ad esordio tardivo"
"F148","Altri disturbi psichici e comportamentali"
"F149","Disturbi psichici e comportamentali non specificati"
"F150","Intossicazione acuta"
"F151","Uso dannoso"
"F152","Sindrome di dipendenza"
"F153","Stato di astinenza"
"F154","Stato di astinenza con delirium"
"F155","Disturbo psicotico"
"F156","Sindrome amnesica"
"F157","Disturbo psicotico residuo o ad esordio tardivo"
"F158","Altri disturbi psichici e comportamentali"
"F159","Disturbi psichici e comportamentali non specificati"
"F160","Intossicazione acuta"
"F161","Uso dannoso"
"F162","Sindrome di dipendenza"
"F163","Stato di astinenza"
"F164","Stato di astinenza con delirium"
"F165","Disturbo psicotico"
"F166","Sindrome amnesica"
"F167","Disturbo psicotico residuo o ad esordio tardivo"
"F168","Altri disturbi psichici e comportamentali"
"F169","Disturbi psichici e comportamentali non specificati"
"F170","Intossicazione acuta"
"F171","Uso dannoso"
"F172","Sindrome di dipendenza"
"F173","Stato di astinenza"
"F174","Stato di astinenza con delirium"
"F175","Disturbo psicotico"
"F176","Sindrome amnesica"
"F177","Disturbo psicotico residuo o ad esordio tardivo"
"F178","Altri disturbi psichici e comportamentali"
"F179","Disturbi psichici e comportamentali non specificati"
"F180","Intossicazione acuta"
"F181","Uso dannoso"
"F182","Sindrome di dipendenza"
"F183","Stato di astinenza"
"F184","Stato di astinenza con delirium"
"F185","Disturbo psicotico"
"F186","Sindrome amnesica"
"F187","Disturbo psicotico residuo o ad esordio tardivo"
"F188","Altri disturbi psichici e comportamentali"
"F189","Disturbi psichici e comportamentali non specificati"
"F190","Intossicazione acuta"
"F191","Uso dannoso"
"F192","Sindrome di dipendenza"
"F193","Stato di astinenza"
"F194","Stato di astinenza con delirium"
"F195","Disturbo psicotico"
"F196","Sindrome amnesica"
"F197","Disturbo psicotico residuo o ad esordio tardivo"
"F198","Altri disturbi psichici e comportamentali"
"F199","Disturbi psichici e comportamentali non specificati"
"F200","Schizofrenia paranoide"
"F201","Schizofrenia ebefrenica"
"F202","Schizofrenia catatonica"
"F203","Schizofrenia indifferenziata"
"F204","Depressione post schizofrenica"
"F205","Schizofrenia residua"
"F206","Schizofrenia simplex"
"F208","Altra forma di schizofrenia"
"F209","Schizofrenia non specificata"
"F220","Disturbo delirante"
"F228","Altri disturbi deliranti persistenti"
"F229","Disturbi deliranti persistenti non specificati"
"F230","Disturbo psicotico acuto polimorfo senza sintomi schizofrenici"
"F231","Disturbo psicotico acuto polimorfo con sintomi schizofrenici"
"F232","Disturbo psicotico acuto schizofreniforme"
"F233","Altri disturbi psicotici acuti prevalentemente deliranti"
"F238","Altri disturbi psicotici acuti e transitori"
"F239","Disturbo psicotico acuto e transitorio non specificato"
"F240","Disturbo delirante indotto"
"F250","Disturbo schizoaffettivo, tipo maniacale"
"F251","Disturbo schizoaffettivo, tipo depressivo"
"F252","Disturbo schizoaffettivo, tipo misto"
"F258","Altri disturbi schizoaffettivi"
"F259","Disturbo schizoaffettivo non specificato"
"F280","Altri disturbi psicotici non organici"
"F290","Psicosi non organica non specificata"
"F300","Ipomania"
"F301","Mania senza sintomi psicotici"
"F302","Mania con sintomi psicotici"
"F308","Episodi maniacali di altro tipo"
"F309","Episodio maniacale non specificato"
"F310","Disturbo affettivo bipolare, episodio ipomaniacale in atto"
"F311","Disturbo affettivo bipolare, episodio maniacale in atto"
"F312","Disturbo affettivo bipolare, episodio maniacale con sintomi psicotici in atto"
"F313","Disturbo affettivo bipolare, episodio depressivo lieve o di media gravita' in atto"
"F314","Disturbo affettivo bipolare, episodio depressivo grave senza sintomi psicotici in atto"
"F315","Disturbo affettivo bipolare, episodio depressivo grave con sintomi psicotici in atto"
"F316","Disturbo affettivo bipolare, episodio misto in atto"
"F317","Disturbo affettivo bipolare attualmente in remissione"
"F318","Disturbi affettivi bipolari di altro tipo"
"F319","Disturbo affettivo bipolare non specificato"
"F320","Episodio depressivo lieve"
"F321","Episodio depressivo di media gravita'"
"F322","Episodio depressivo grave senza sintomi psicotici"
"F323","Episodio depressivo grave con sintomi psicotici"
"F328","Episodi depressivi di altro tipo"
"F329","Episodio depressivo non specificato"
"F330","Disturbo depressivo ricorrente, episodio lieve in atto"
"F331","Disturbo depressivo ricorrente, episodio di media gravita' in atto"
"F332","Disturbo depressivo ricorrente, episodio grave senza sintomi psicotici in atto"
"F333","Disturbo depressivo ricorrente, episodio grave con sintomi psicotici in atto"
"F334","Disturbo depressivo ricorrente, attualmente in remissione"
"F338","Disturbi depressivi ricorrenti di altro tipo"
"F339","Disturbo depressivo ricorrente non specificato"
"F340","Ciclotimia"
"F341","Distimia"
"F348","Disturbi persistenti  dell’umore (affettivi) di altro tipo"
"F349","Disturbo persistente dell’umore (affettivo) non specificato"
"F380","Altri singoli disturbi dell’umore (affettivi)"
"F381","Disturbi ricorrenti dell’umore (affettivi) di altro tipo"
"F388","Disturbi specifici dell’umore (affettivi)  di altro tipo"
"F390","Disturbo dell’umore (affettivo) non specificato"
"F400","Agorafobia"
"F401","Fobie sociali"
"F402","Fobie specifiche (isolate)"
"F408","Altri disturbi ansioso fobici"
"F409","Disturbo ansioso fobico non specificato"
"F410","Disturbo da attacchi di panico (ansia episodica parossistica)"
"F411","Disturbo d’ansia generalizzata"
"F412","Disturbo misto ansioso depressivo"
"F413","Altri disturbi ansiosi misti"
"F418","Altri disturbi ansiosi specificati"
"F419","Disturbo ansioso non specificato"
"F420","Pensieri o ruminazioni prevalentemente ossessive"
"F421","Atti prevalentemente compulsivi (rituali ossessivi)"
"F422","Associazione di pensieri ossessivi ad atti compulsivi"
"F428","Altri disturbi ossessivo compulsivi"
"F429","Disturbo ossessivo compulsivo non specificato"
"F430","Reazione acuta da stress"
"F431","Disturbo post traumatico da stress"
"F432","Disturbi dell’adattamento"
"F438","Altre reazioni a stress grave"
"F439","Reazione a stress grave non specificata"
"F440","Amnesia dissociativa"
"F441","Fuga dissociativa"
"F442","Stupor dissociativo"
"F443","Disturbi di trance e di possessione"
"F444","Disturbi dissociativi dell’attivita' motoria"
"F445","Convulsioni dissociative"
"F446","Anestesia e perdita sensoriale dissociative"
"F447","Disturbi dissociativi (di conversione) misti"
"F448","Altri disturbi dissociativi (di conversione)"
"F449","Disturbo dissociativo (di conversione) non specificato"
"F450","Disturbo da somatizzazione"
"F451","Disturbo somatoforme indifferenziato"
"F452","Disturbo ipocondriaco"
"F453","Disfunzione vegetativa somatoforme"
"F454","Disturbo somatoforme da dolore persistente"
"F458","Altri disturbi somatoformi"
"F459","Disturbo somatoforme non specificato"
"F480","Nevrastenia"
"F481","Sindrome di depersonalizzazione derealizzazione"
"F488","Altri disturbi nevrotici specificati"
"F489","Disturbi nevrotici non specificati"
"F500","Anoressia nervosa"
"F501","Anoressia nervosa atipica"
"F502","Bulimia nervosa"
"F503","Bulimia nervosa atipica"
"F504","Iperalimentazione associata ad altri disturbi psicologici "
"F505","Vomito associato con altri disturbi psicologici"
"F508","Altri disturbi dell’alimentazione"
"F509","Disturbo dell’alimentazione non specificato"
"F510","Insonnia non organica"
"F511","Ipersonnia non organica"
"F512","Disturbo non organico del ritmo sonno veglia"
"F513","Sonnambulismo"
"F514","Terrori da sonno (terrori notturni)"
"F515","Incubi"
"F518","Altri disturbi non organici del sonno"
"F519","Disturbo non organico del sonno non specificato"
"F520","Diminuzione o perdita del desiderio sessuale"
"F521","Avversione sessuale e mancanza di godimento sessuale"
"F522","Difetto della risposta genitale"
"F523","Disfunzione dell’orgasmo"
"F524","Eiaculazione precoce"
"F525","Vaginismo non organico"
"F526","Dispareunia non organica"
"F527","Impulso sessuale eccessivo"
"F528","Altre disfunzioni sessuali non causate da disturbi o malattie organiche"
"F529","Disfunzione sessuale non specificata non causata da disturbi o malattie organiche"
"F530","Disturbi mentali e comportamentali lievi associati con il puerperio non classificati altrove"
"F531","Disturbi mentali e comportamentali gravi associati con il puerperio non classificati altrove"
"F538","Altri disturbi mentali e comportamentali associati al puerperio non classificati altrove"
"F539","Disturbo mentale puerperale non specificato"
"F540","Fattori psicologici e comportamentali associati a disturbi o malattie classificati altrove"
"F550","Abuso di sostanze che non provocano dipendenza"
"F590","Sindromi comportamentali non specificate associate a disturbi fisiologici e a fattori somatici"
"F600","Disturbo di personalita' paranoide"
"F601","Disturbo schizoide di personalita'"
"F602","Sindrome antisociale di personalita'"
"F603","Disturbo di personalita' emotivamente instabile"
"F604","Disturbo istrionico di personalita'"
"F605","Disturbo anancastico di personalita'"
"F606","Disturbo ansioso di personalita' (di evitamento)"
"F607","Disturbo di personalita' dipendente"
"F608","Altri disturbi  specifici di personalita'"
"F609","Disturbo di personalita' non specificato"
"F620","Modificazione duratura della personalita' dopo un’esperienza catastrofica"
"F621","Modificazione duratura della personalita' successiva a malattia psichiatrica"
"F628","Altre modificazioni durature della personalita'"
"F629","Modificazione duratura della personalita' non specificata"
"F630","Gioco d’azzardo patologico"
"F631","Impulso patologico ad appiccare fuoco (piromania)"
"F632","Furto patologico (cleptomania)"
"F633","Tricotillomania"
"F638","Altri disturbi delle abitudini e degli impulsi"
"F639","Disturbo delle abitudini e degli impulsi non specificato"
"F640","Transessualismo"
"F641","Travestitismo a doppio ruolo"
"F642","Disturbo dell’identita' sessuale dell’infanzia"
"F648","Altri disturbi dell’identita' sessuale"
"F649","Disturbo non specificato dell’identita' sessuale"
"F650","Feticismo"
"F651","Travestitismo feticistico"
"F652","Esibizionismo"
"F653","Voyerismo"
"F654","Pedofilia"
"F655","Sado masochismo"
"F656","Disturbi multipli della preferenza sessuale"
"F658","Altri disturbi della preferenza sessuale"
"F659","Disturbi non specificati della preferenza sessuale"
"F660","Crisi di maturazione sessuale"
"F661","Orientamento sessuale egodistonico"
"F662","Disturbo delle relazioni sessuali"
"F668","Altri disturbi dello sviluppo psicosessuale"
"F669","Disturbo non specificato dello sviluppo psicosessuale"
"F680","Elaborazione di sintomi fisici per ragioni psicologiche"
"F681","Produzione intenzionale o simulazione di sintomi o invalidita' fisici o psicologici (disturbo fittizio)"
"F688","Altri disturbi specifici della personalita' e del comportamento nell’adulto"
"F700","Nessuna, o minima, compromissione del comportamento"
"F701","Significativa compromissione del comportamento richiedente attenzione o trattamento"
"F708","Altre compromissioni del comportamento"
"F709","Senza menzione di compromissione del comportamento"
"F710","Nessuna, o minima, compromissione del comportamento"
"F711","Significativa compromissione del comportamento richiedente attenzione o trattamento"
"F718","Altre compromissioni del comportamento"
"F719","Senza menzione di compromissione del comportamento"
"F720","Nessuna, o minima, compromissione del comportamento"
"F721","Significativa compromissione del comportamento richiedente attenzione o trattamento"
"F728","Altre compromissioni del comportamento"
"F729","Senza menzione di compromissione del comportamento"
"F730","Nessuna, o minima, compromissione del comportamento"
"F731","Significativa compromissione del comportamento richiedente attenzione o trattamento"
"F738","Altre compromissioni del comportamento"
"F739","Senza menzione di compromissione del comportamento"
"F780","Nessuna, o minima, compromissione del comportamento"
"F781","Significativa compromissione del comportamento richiedente attenzione o trattamento"
"F788","Altre compromissioni del comportamento"
"F789","Senza menzione di compromissione del comportamento"
"F790","Nessuna, o minima, compromissione del comportamento"
"F791","Significativa compromissione del comportamento richiedente attenzione o trattamento"
"F798","Altre compromissioni del comportamento"
"F799","Senza menzione di compromissione del comportamento"
"F800","Disturbo specifico dell’articolazione dell’eloquio"
"F801","Disturbo del linguaggio espressivo"
"F802","Disturbi della comprensione del linguaggio"
"F803","Afasia acquisita con epilessia (Landau Kleffner)"
"F808","Altri disturbi evolutivi dell’eloquio e del linguaggio"
"F809","Disturbo evolutivo dell’eloquio e del linguaggio, non specificato"
"F810","Disturbo specifico della lettura"
"F811","Disturbo specifico della compitazione"
"F812","Disturbo specifico delle abilita' aritmetiche"
"F813","Disturbo misto delle capacita' scolastiche"
"F818","Altri disturbi evolutivi delle abilita' scolastiche"
"F819","Disturbo evolutivo delle capacita' scolastiche, non specificato"
"F830","Disturbo evolutivo specifico misto"
"F840","Autismo infantile"
"F841","Autismo atipico"
"F842","Sindrome di Rett"
"F843","Disturbo disintegrativo dell’infanzia di altro tipo"
"F844","Disturbo iperattivo associato a ritardo mentale e a movimenti stereotipati"
"F845","Sindrome di Asperger"
"F848","Disturbi evolutivi globali di altro tipo"
"F849","Disturbo evolutivo globale non specificato"
"F880","Disturbo dello sviluppo psicologico di altro tipo"
"F890","Disturbo dello sviluppo psicologico non specificato"
"F900","Disturbo dell’attivita' e dell’attenzione"
"F901","Disturbo della condotta ipercinetico"
"F908","Disturbi ipercinetici di altro tipo"
"F909","Disturbo ipercinetico non specificato"
"F910","Disturbo della condotta limitato al contesto familiare"
"F911","Disturbo della condotta con ridotta socializzazione"
"F912","Disturbo della condotta con socializzazione normale"
"F913","Disturbo oppositivo provocatorio"
"F918","Altri disturbi della condotta"
"F919","Disturbo della condotta non specificato"
"F920","Disturbo della condotta depressivo"
"F928","Altro disturbo misto della condotta e della sfera emozionale"
"F929","Disturbo misto della condotta e della sfera emozionale, non"
"F930","Disturbo ansioso da separazione dell’infanzia"
"F931","Disturbo fobico dell’infanzia"
"F932","Disturbo di ansia sociale dell’infanzia"
"F933","Disturbo di rivalita' tra fratelli"
"F938","Altri disturbi emozionali dell’infanzia"
"F939","Disturbo emozionale dell’infanzia non specificato"
"F940","Mutismo elettivo"
"F941","Disturbo reattivo dell’attaccamento dell’infanzia"
"F942","Disturbo dell’attacamento disinibito dell’infanzia"
"F948","Disturbi del funzionamento sociale dell’infanzia di altro tipo"
"F949","Disturbo del funzionamento sociale dell’infanzia non specificato"
"F950","Disturbo a tipo tic transitorio"
"F951","Disturbo a tipo tic cronico motorio o vocale"
"F952","Disturbi a tipo tic combinati motori multipli e vocali (de la Tourette)"
"F958","Altri disturbi a tipo tic"
"F959","Disturbo a tipo tic non specificato"
"F980","Enuresi non organica"
"F981","Encopresi non organica"
"F982","Disturbo dell’alimentazione della prima e della seconda infanzia"
"F983","Pica della prima e della seconda infanzia"
"F984","Disturbo da movimenti stereotipati"
"F985","Balbuzie (tartagliamento)"
"F986","Eloquio disordinato"
"F988","Altri disturbi comportamentali ed emozionali specifici con esordio abituale nell’infanzia e nell’adolescenza"
"F989","Disturbi comportamentali ed emozionali non specificati con esordio abituale nell’infanzia e nell’adolescenza"
"F990","Disturbo mentale S A I "
"G000","Meningite da Haemophilus"
"G001","Meningite da Pneumococco"
"G002","Meningite da Streptococco"
"G003","Meningite da Stafilococco"
"G008","Altre meningiti batteriche"
"G009","Meningite batterica non specificata"
"G010","Meningite in malattie batteriche classificate altrove"
"G020","Meningite in malattie virali classificate altrove"
"G021","Meningite in micosi"
"G028","Meningite in altre malattie infettive e parassitarie specificate classificate altrove"
"G030","Meningite non piogenica"
"G031","Meningite cronica"
"G032","Meningite ricorrente benigna (di Mollaret)"
"G038","Meningite dovuta ad altre cause specificate"
"G039","Meningite non precisata"
"G040","Encefalite acuta disseminata"
"G041","Paraplegia spastica tropicale"
"G042","Meningoencefalite e meningomielite batteriche, non classificate altrove"
"G048","Altre encefaliti, mieliti ed encefalomieliti"
"G049","Encefalite, mielite ed encefalomielite non precisate"
"G050","Encefalite, mielite ed encefalomielite in malattie batteriche classificate altrove"
"G051","Encefalite, mielite ed encefalomielite in malattie virali classificate altrove"
"G052","Encefalite, mielite ed encefalomielite in altre malattie infettive e parassitarie classificate altrove"
"G058","Encefalite, mielite ed encefalomielite in altre malattie classificate altrove"
"G060","Ascesso e granuloma intracranici"
"G061","Ascesso e granuloma intrarachidiani"
"G062","Ascesso extradurale e subdurale non specificati"
"G070","Ascessi e granulomi intracranici ed intrarachidiani in malattie classificate altrove"
"G080","Flebite e tromboflebite intracraniche ed intrarachidiane"
"G090","Sequele di malattie infiammatorie del sistema nervoso centrale"
"G100","Malattia di Huntington"
"G110","Atassia congenita non progressiva"
"G111","Atassia cerebellare ad esordio precoce"
"G112","Atassia cerebellare ad esordio tardivo"
"G113","Atassia cerebellare con difetto di riparazione del DNA"
"G114","Paraplegia spastica ereditaria"
"G118","Altre atassie ereditarie"
"G119","Atassia ereditaria non specificata"
"G120","Atrofia muscolare spinale infantile tipo I (Werdnig Hoffman)"
"G121","Altre atrofie muscolari spinali ereditarie"
"G122","Malattia del motoneurone"
"G128","Altre atrofie muscolari spinali e sindromi correlate"
"G129","Atrofia muscolare spinale S A I "
"G130","Neuropatia e neuromiopatia paraneoplastiche"
"G131","Altre atrofie sistemiche interessanti principalmente il sistema nervoso centrale in malattie neoplastiche"
"G132","Atrofia sistemica interessante principalmente il sistema nervoso centrale nel mixedema (E00 1 , E03   )"
"G138","Atrofia sistemica interessante principalmente il sistema nervoso centrale in altre malattie classificate altrove"
"G200","Morbo di Parkinson"
"G210","Sindrome maligna da neurolettici"
"G211","Altro parkinsonismo secondario farmaco indotto"
"G212","Parkinsonismo secondario dovuto ad altri agenti esterni"
"G213","Parkinsonismo post encefalitico"
"G218","Altro parkinsonismo secondario"
"G219","Parkinsonismo secondario non specificato"
"G220","Parkinsonismo in malattie classificate altrove"
"G230","Malattia di Hallervorden Spatz"
"G231","Oftalmoplegia sovranucleare progressiva (Steele Richardson Olszewski)"
"G232","Degenerazione striato nigrica"
"G238","Altre malattie degenerative specificate dei gangli della base"
"G239","Malattia degenerativa dei gangli della base, non specificata"
"G240","Distonia da farmaci"
"G241","Distonia familiare idiopatica"
"G242","Distonia non familiare idiopatica"
"G243","Torcicollo spastico"
"G244","Distonia orofacciale idiopatica"
"G245","Blefarospasmo"
"G248","Altra distonia"
"G249","Distonia non specificata"
"G250","Tremore essenziale"
"G251","Tremore da farmaci"
"G252","Altre forme specificate di tremore"
"G253","Mioclono"
"G254","Corea da farmaci"
"G255","Altre forme di corea"
"G256","Tic da farmaci ed altri tic di origine organica"
"G258","Altri disturbi specificati extrapiramidali e del movimento"
"G259","Disturbi extrapiramidali e del movimento non specificati"
"G260","Disturbi extrapiramidali e del movimento in malattie classificate altrove"
"G300","Malattia di Alzheimer ad esordio precoce"
"G301","Malattia di Alzheimer ad esordio tardivo"
"G308","Altra forma di malattia di Alzheimer"
"G309","Malattia di Alzheimer non specificata"
"G310","Atrofia cerebrale circoscritta"
"G311","Degenerazione cerebrale senile non classificata altrove"
"G312","Degenerazione del sistema nervoso dovuta ad alcol"
"G318","Altre malattie degenerative specificate del sistema nervoso"
"G319","Malattia degenerativa del sistema nervoso non specificata"
"G320","Degenerazione combinata subacuta del midollo spinale in malattie classificate altrove"
"G328","Altre malattie degenerative specificate del sistema nervoso in malattie classificate altrove"
"G350","Sclerosi multipla"
"G360","Neuromielite ottica (Devic)"
"G361","Leucoencefalite emorragica acuta e subacuta (Hurst)"
"G368","Altra demielinizzazione disseminata acuta specificata"
"G369","Demielinizzazione disseminata acuta non specificata"
"G370","Sclerosi diffusa"
"G371","Demielinizzazione centrale del corpo calloso"
"G372","Mielinolisi centrale del ponte"
"G373","Mielite trasversa acuta in malattie demielinizzanti del sistema nervoso centrale"
"G374","Mielite necrotizzante subacuta"
"G375","Sclerosi concentrica (Balò)"
"G378","Altre malattie demielinizzanti specificate del sistema nervoso centrale"
"G379","Malattia demielinizzante del sistema nervoso centrale non specificata"
"G400","Epilessia e sindromi epilettiche idiopatiche, definite per localizzazione (focale) (parziale), con crisi ad esordio focale"
"G401","Epilessia e sindromi epilettiche sintomatiche, definite per localizzazione (focale(i)) (parziale(i)), con crisi parziali semplici"
"G402","Epilessia e sindromi epilettiche sintomatiche, definite per localizzazione (focale(i)) (parziale(i)), con crisi parziali complesse"
"G403","Epilessia e sindromi epilettiche generalizzate idiopatiche"
"G404","Altre epilessie e sindromi epilettiche generalizzate"
"G405","Sindromi epilettiche speciali"
"G406","Crisi di grande male non specificata (con o senza piccolo male)"
"G407","Piccolo male non specificato, senza attacchi di grande male"
"G408","Altre epilessie"
"G409","Epilessia non specificata"
"G410","Stato di grande male epilettico"
"G411","Stato di piccolo male epilettico"
"G412","Stato di male epilettico parziale complesso"
"G418","Altro stato di male epilettico"
"G419","Stato di male epilettico non specificato"
"G430","Emicrania senza aura (emicrania comune)"
"G431","Emicrania con aura (emicrania classica)"
"G432","Stato di male emicranico"
"G433","Emicrania complicata"
"G438","Altre forme di emicrania"
"G439","Emicrania non specificata"
"G440","Sindrome di cefalea a grappolo"
"G441","Cefalea vasomotoria non classificata altrove"
"G442","Cefalea tensiva"
"G443","Cefalea cronica post traumatica"
"G444","Cefalea da farmaci non classificata altrove"
"G448","Altre sindromi cefalalgiche specificate"
"G450","Sindrome dell’arteria vertebrobasilare"
"G451","Sindrome carotidea (emisferica)"
"G452","Sindromi dei tronchi sovra aortici"
