"A00","Cholera"
"G2011","Primäres Parkinson-Syndrom mit mäßiger bis schwerer Beeinträchtigung: Mit Wirkungsfluktuation"
"G202","Primäres Parkinson-Syndrom mit schwerster Beeinträchtigung"
"G2020","Primäres Parkinson-Syndrom mit schwerster Beeinträchtigung: Ohne Wirkungsfluktuation"
"G2021","Primäres Parkinson-Syndrom mit schwerster Beeinträchtigung: Mit Wirkungsfluktuation"
"G209","Primäres Parkinson-Syndrom, nicht näher bezeichnet"
"G2090","Primäres Parkinson-Syndrom, nicht näher bezeichnet: Ohne Wirkungsfluktuation"
"G2091","Primäres Parkinson-Syndrom, nicht näher bezeichnet: Mit Wirkungsfluktuation"
"G21","Sekundäres Parkinson-Syndrom"
"G210","Malignes Neuroleptika-Syndrom"
"G211","Sonstiges arzneimittelinduziertes Parkinson-Syndrom"
"G212","Parkinson-Syndrom durch sonstige exogene Agenzien"
"G213","Postenzephalitisches Parkinson-Syndrom"
"G214","Vaskuläres Parkinson-Syndrom"
"G218","Sonstiges sekundäres Parkinson-Syndrom"
"G219","Sekundäres Parkinson-Syndrom, nicht näher bezeichnet"
"G22","Parkinson-Syndrom bei anderenorts klassifizierten Krankheiten"
"G23","Sonstige degenerative Krankheiten der Basalganglien"
"G230","Hallervorden-Spatz-Syndrom"
"G231","Progressive supranukleäre Ophthalmoplegie [Steele-Richardson-Olszewski-Syndrom]"
"G232","Multiple Systematrophie vom Parkinson-Typ [MSA-P]"
"G233","Multiple Systematrophie vom zerebellären Typ [MSA-C]"
"G238","Sonstige näher bezeichnete degenerative Krankheiten der Basalganglien"
"G239","Degenerative Krankheit der Basalganglien, nicht näher bezeichnet"
"G24","Dystonie"
"G240","Arzneimittelinduzierte Dystonie"
"G241","Idiopathische familiäre Dystonie"
"G242","Idiopathische nichtfamiliäre Dystonie"
"G243","Torticollis spasticus"
"G244","Idiopathische orofaziale Dystonie"
"G245","Blepharospasmus"
"G248","Sonstige Dystonie"
"G249","Dystonie, nicht näher bezeichnet"
"G25","Sonstige extrapyramidale Krankheiten und Bewegungsstörungen"
"G250","Essentieller Tremor"
"G251","Arzneimittelinduzierter Tremor"
"G252","Sonstige näher bezeichnete Tremorformen"
"G253","Myoklonus"
"G254","Arzneimittelinduzierte Chorea"
"G255","Sonstige Chorea"
"G256","Arzneimittelinduzierte Tics und sonstige Tics organischen Ursprungs"
"G258","Sonstige näher bezeichnete extrapyramidale Krankheiten und Bewegungsstörungen"
"G2580","Periodische Beinbewegungen im Schlaf"
"G2581","Syndrom der unruhigen Beine [Restless-Legs-Syndrom]"
"G2588","Sonstige näher bezeichnete extrapyramidale Krankheiten und Bewegungsstörungen"
"G259","Extrapyramidale Krankheit oder Bewegungsstörung, nicht näher bezeichnet"
"G26","Extrapyramidale Krankheiten und Bewegungsstörungen bei anderenorts klassifizierten Krankheiten"
"G30","Alzheimer-Krankheit"
"G300","Alzheimer-Krankheit mit frühem Beginn"
"G301","Alzheimer-Krankheit mit spätem Beginn"
"G308","Sonstige Alzheimer-Krankheit"
"G309","Alzheimer-Krankheit, nicht näher bezeichnet"
"G31","Sonstige degenerative Krankheiten des Nervensystems, anderenorts nicht klassifiziert"
"G310","Umschriebene Hirnatrophie"
"G311","Senile Degeneration des Gehirns, anderenorts nicht klassifiziert"
"G312","Degeneration des Nervensystems durch Alkohol"
"G318","Sonstige näher bezeichnete degenerative Krankheiten des Nervensystems"
"G3181","Mitochondriale Zytopathie"
"G3182","Lewy-Körper-Krankheit"
"G3188","Sonstige näher bezeichnete degenerative Krankheiten des Nervensystems"
"G319","Degenerative Krankheit des Nervensystems, nicht näher bezeichnet"
"G32","Sonstige degenerative Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten"
"G320","Subakute kombinierte Degeneration des Rückenmarks bei anderenorts klassifizierten Krankheiten"
"G328","Sonstige näher bezeichnete degenerative Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten"
"G35","Multiple Sklerose [Encephalomyelitis disseminata]"
"G350","Erstmanifestation einer multiplen Sklerose"
"G351","Multiple Sklerose mit vorherrschend schubförmigem Verlauf"
"G3510","Multiple Sklerose mit vorherrschend schubförmigem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"
"G3511","Multiple Sklerose mit vorherrschend schubförmigem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"
"G352","Multiple Sklerose mit primär-chronischem Verlauf"
"G3520","Multiple Sklerose mit primär-chronischem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"
"G3521","Multiple Sklerose mit primär-chronischem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"
"G353","Multiple Sklerose mit sekundär-chronischem Verlauf"
"G3530","Multiple Sklerose mit sekundär-chronischem Verlauf: Ohne Angabe einer akuten Exazerbation oder Progression"
"G3531","Multiple Sklerose mit sekundär-chronischem Verlauf: Mit Angabe einer akuten Exazerbation oder Progression"
"G359","Multiple Sklerose, nicht näher bezeichnet"
"G36","Sonstige akute disseminierte Demyelinisation"
"G360","Neuromyelitis optica [Devic-Krankheit]"
"G361","Akute und subakute hämorrhagische Leukoenzephalitis [Hurst]"
"G368","Sonstige näher bezeichnete akute disseminierte Demyelinisation"
"G369","Akute disseminierte Demyelinisation, nicht näher bezeichnet"
"G37","Sonstige demyelinisierende Krankheiten des Zentralnervensystems"
"G370","Diffuse Hirnsklerose"
"G371","Zentrale Demyelinisation des Corpus callosum"
"G372","Zentrale pontine Myelinolyse"
"G373","Myelitis transversa acuta bei demyelinisierender Krankheit des Zentralnervensystems"
"G374","Subakute nekrotisierende Myelitis [Foix-Alajouanine-Syndrom]"
"G375","Konzentrische Sklerose [Baló-Krankheit]"
"G378","Sonstige näher bezeichnete demyelinisierende Krankheiten des Zentralnervensystems"
"G379","Demyelinisierende Krankheit des Zentralnervensystems, nicht näher bezeichnet"
"G40","Epilepsie"
"G400","Lokalisationsbezogene (fokale) (partielle) idiopathische Epilepsie und epileptische Syndrome mit fokal beginnenden Anfällen"
"G4000","Pseudo-Lennox-Syndrom"
"G4001","CSWS [Continuous spikes and waves during slow-wave sleep]"
"G4002","Benigne psychomotorische Epilepsie [terror fits]"
"G4008","Sonstige lokalisationsbezogene (fokale) (partielle) idiopathische Epilepsie und epileptische Syndrome mit fokal beginnenden Anfällen"
"G4009","Lokalisationsbezogene (fokale) (partielle) idiopathische Epilepsie und epileptische Syndrome mit fokal beginnenden Anfällen, nicht näher bezeichnet"
"G401","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit einfachen fokalen Anfällen"
"G402","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit komplexen fokalen Anfällen"
"G403","Generalisierte idiopathische Epilepsie und epileptische Syndrome"
"G404","Sonstige generalisierte Epilepsie und epileptische Syndrome"
"G405","Spezielle epileptische Syndrome"
"G406","Grand-Mal-Anfälle, nicht näher bezeichnet (mit oder ohne Petit-Mal)"
"G407","Petit-Mal-Anfälle, nicht näher bezeichnet, ohne Grand-Mal-Anfälle"
"G408","Sonstige Epilepsien"
"G409","Epilepsie, nicht näher bezeichnet"
"G41","Status epilepticus"
"G410","Grand-Mal-Status"
"G411","Petit-Mal-Status"
"G412","Status epilepticus mit komplexfokalen Anfällen"
"G418","Sonstiger Status epilepticus"
"G419","Status epilepticus, nicht näher bezeichnet"
"G43","Migräne"
"G430","Migräne ohne Aura [Gewöhnliche Migräne]"
"G431","Migräne mit Aura [Klassische Migräne]"
"G432","Status migraenosus"
"G433","Komplizierte Migräne"
"G438","Sonstige Migräne"
"G439","Migräne, nicht näher bezeichnet"
"G44","Sonstige Kopfschmerzsyndrome"
"G440","Cluster-Kopfschmerz"
"G441","Vasomotorischer Kopfschmerz, anderenorts nicht klassifiziert"
"G442","Spannungskopfschmerz"
"G443","Chronischer posttraumatischer Kopfschmerz"
"G444","Arzneimittelinduzierter Kopfschmerz, anderenorts nicht klassifiziert"
"G448","Sonstige näher bezeichnete Kopfschmerzsyndrome"
"G45","Zerebrale transitorische Ischämie und verwandte Syndrome"
"G450","Arteria-vertebralis-Syndrom mit Basilaris-Symptomatik"
"G4502","Arteria-vertebralis-Syndrom mit Basilaris-Symptomatik: Komplette Rückbildung innerhalb von 1 bis 24 Stunden"
"G4503","Arteria-vertebralis-Syndrom mit Basilaris-Symptomatik: Komplette Rückbildung innerhalb von weniger als 1 Stunde"
"G4509","Arteria-vertebralis-Syndrom mit Basilaris-Symptomatik: Verlauf der Rückbildung nicht näher bezeichnet"
"G451","Arteria-carotis-interna-Syndrom (halbseitig)"
"G4512","Arteria-carotis-interna-Syndrom (halbseitig): Komplette Rückbildung innerhalb von 1 bis 24 Stunden"
"G4513","Arteria-carotis-interna-Syndrom (halbseitig): Komplette Rückbildung innerhalb von weniger als 1 Stunde"
"G4519","Arteria-carotis-interna-Syndrom (halbseitig): Verlauf der Rückbildung nicht näher bezeichnet"
"G452","Multiple und bilaterale Syndrome der extrazerebralen hirnversorgenden Arterien"
"G4522","Multiple und bilaterale Syndrome der extrazerebralen hirnversorgenden Arterien: Komplette Rückbildung innerhalb von 1 bis 24 Stunden"
"G4523","Multiple und bilaterale Syndrome der extrazerebralen hirnversorgenden Arterien: Komplette Rückbildung innerhalb von weniger als 1 Stunde"
"G4529","Multiple und bilaterale Syndrome der extrazerebralen hirnversorgenden Arterien: Verlauf der Rückbildung nicht näher bezeichnet"
"G453","Amaurosis fugax"
"G4532","Amaurosis fugax: Komplette Rückbildung innerhalb von 1 bis 24 Stunden"
"G4533","Amaurosis fugax: Komplette Rückbildung innerhalb von weniger als 1 Stunde"
"G4539","Amaurosis fugax: Verlauf der Rückbildung nicht näher bezeichnet"
"G454","Transiente globale Amnesie [amnestische Episode]"
"G4542","Transiente globale Amnesie [amnestische Episode]: Komplette Rückbildung innerhalb von 1 bis 24 Stunden"
"G4543","Transiente globale Amnesie [amnestische Episode]: Komplette Rückbildung innerhalb von weniger als 1 Stunde"
"G4549","Transiente globale Amnesie [amnestische Episode]: Verlauf der Rückbildung nicht näher bezeichnet"
"G458","Sonstige zerebrale transitorische Ischämie und verwandte Syndrome"
"G4582","Sonstige zerebrale transitorische Ischämie und verwandte Syndrome: Komplette Rückbildung innerhalb von 1 bis 24 Stunden"
"G4583","Sonstige zerebrale transitorische Ischämie und verwandte Syndrome: Komplette Rückbildung innerhalb von weniger als 1 Stunde"
"G4589","Sonstige zerebrale transitorische Ischämie und verwandte Syndrome: Verlauf der Rückbildung nicht näher bezeichnet"
"G459","Zerebrale transitorische Ischämie, nicht näher bezeichnet"
"G4592","Zerebrale transitorische Ischämie, nicht näher bezeichnet: Komplette Rückbildung innerhalb von 1 bis 24 Stunden"
"G4593","Zerebrale transitorische Ischämie, nicht näher bezeichnet: Komplette Rückbildung innerhalb von weniger als 1 Stunde"
"G4599","Zerebrale transitorische Ischämie, nicht näher bezeichnet: Verlauf der Rückbildung nicht näher bezeichnet"
"G46","Zerebrale Gefäßsyndrome bei zerebrovaskulären Krankheiten"
"G460","Arteria-cerebri-media-Syndrom"
"G461","Arteria-cerebri-anterior-Syndrom"
"G462","Arteria-cerebri-posterior-Syndrom"
"G463","Hirnstammsyndrom"
"G464","Kleinhirnsyndrom"
"G465","Rein motorisches lakunäres Syndrom"
"G466","Rein sensorisches lakunäres Syndrom"
"G467","Sonstige lakunäre Syndrome"
"G468","Sonstige Syndrome der Hirngefäße bei zerebrovaskulären Krankheiten"
"G47","Schlafstörungen"
"G470","Ein- und Durchschlafstörungen"
"G471","Krankhaft gesteigertes Schlafbedürfnis"
"G472","Störungen des Schlaf-Wach-Rhythmus"
"G473","Schlafapnoe"
"G4730","Zentrales Schlafapnoe-Syndrom"
"G4731","Obstruktives Schlafapnoe-Syndrom"
"G4732","Schlafbezogenes Hypoventilations-Syndrom"
"G4738","Sonstige Schlafapnoe"
"G4739","Schlafapnoe, nicht näher bezeichnet"
"G474","Narkolepsie und Kataplexie"
"G478","Sonstige Schlafstörungen"
"G479","Schlafstörung, nicht näher bezeichnet"
"G50","Krankheiten des N. trigeminus [V. Hirnnerv]"
"G500","Trigeminusneuralgie"
"G501","Atypischer Gesichtsschmerz"
"G508","Sonstige Krankheiten des N. trigeminus"
"G509","Krankheit des N. trigeminus, nicht näher bezeichnet"
"G51","Krankheiten des N. facialis [VII. Hirnnerv]"
"G510","Fazialisparese"
"G511","Entzündung des Ganglion geniculi"
"G512","Melkersson-Rosenthal-Syndrom"
"G513","Spasmus (hemi)facialis"
"G514","Faziale Myokymie"
"G518","Sonstige Krankheiten des N. facialis"
"G519","Krankheit des N. facialis, nicht näher bezeichnet"
"G52","Krankheiten sonstiger Hirnnerven"
"G520","Krankheiten der Nn. olfactorii [I. Hirnnerv]"
"G521","Krankheiten des N. glossopharyngeus [IX. Hirnnerv]"
"G522","Krankheiten des N. vagus [X. Hirnnerv]"
"G523","Krankheiten des N. hypoglossus [XII. Hirnnerv]"
"G527","Krankheiten mehrerer Hirnnerven"
"G528","Krankheiten sonstiger näher bezeichneter Hirnnerven"
"G529","Krankheit eines Hirnnerven, nicht näher bezeichnet"
"G53","Krankheiten der Hirnnerven bei anderenorts klassifizierten Krankheiten"
"G530","Neuralgie nach Zoster"
"G531","Multiple Hirnnervenlähmungen bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"G532","Multiple Hirnnervenlähmungen bei Sarkoidose"
"G533","Multiple Hirnnervenlähmungen bei Neubildungen"
"G538","Sonstige Krankheiten der Hirnnerven bei sonstigen anderenorts klassifizierten Krankheiten"
"G54","Krankheiten von Nervenwurzeln und Nervenplexus"
"G540","Läsionen des Plexus brachialis"
"G541","Läsionen des Plexus lumbosacralis"
"G542","Läsionen der Zervikalwurzeln, anderenorts nicht klassifiziert"
"G543","Läsionen der Thorakalwurzeln, anderenorts nicht klassifiziert"
"G544","Läsionen der Lumbosakralwurzeln, anderenorts nicht klassifiziert"
"G545","Neuralgische Amyotrophie"
"G546","Phantomschmerz"
"G547","Phantomglied ohne Schmerzen"
"G548","Sonstige Krankheiten von Nervenwurzeln und Nervenplexus"
"G549","Krankheit von Nervenwurzeln und Nervenplexus, nicht näher bezeichnet"
"G55","Kompression von Nervenwurzeln und Nervenplexus bei anderenorts klassifizierten Krankheiten"
"G550","Kompression von Nervenwurzeln und Nervenplexus bei Neubildungen"
"G551","Kompression von Nervenwurzeln und Nervenplexus bei Bandscheibenschäden"
"G552","Kompression von Nervenwurzeln und Nervenplexus bei Spondylose"
"G553","Kompression von Nervenwurzeln und Nervenplexus bei sonstigen Krankheiten der Wirbelsäule und des Rückens"
"G558","Kompression von Nervenwurzeln und Nervenplexus bei sonstigen anderenorts klassifizierten Krankheiten"
"G56","Mononeuropathien der oberen Extremität"
"G560","Karpaltunnel-Syndrom"
"G561","Sonstige Läsionen des N. medianus"
"G562","Läsion des N. ulnaris"
"G563","Läsion des N. radialis"
"G568","Sonstige Mononeuropathien der oberen Extremität"
"G569","Mononeuropathie der oberen Extremität, nicht näher bezeichnet"
"G57","Mononeuropathien der unteren Extremität"
"G570","Läsion des N. ischiadicus"
"G571","Meralgia paraesthetica"
"G572","Läsion des N. femoralis"
"G573","Läsion des N. fibularis (peronaeus) communis"
"G574","Läsion des N. tibialis"
"G575","Tarsaltunnel-Syndrom"
"G576","Läsion des N. plantaris"
"G578","Sonstige Mononeuropathien der unteren Extremität"
"G579","Mononeuropathie der unteren Extremität, nicht näher bezeichnet"
"G58","Sonstige Mononeuropathien"
"G580","Interkostalneuropathie"
"G587","Mononeuritis multiplex"
"G588","Sonstige näher bezeichnete Mononeuropathien"
"G589","Mononeuropathie, nicht näher bezeichnet"
"G59","Mononeuropathie bei anderenorts klassifizierten Krankheiten"
"G590","Diabetische Mononeuropathie"
"G598","Sonstige Mononeuropathien bei anderenorts klassifizierten Krankheiten"
"G60","Hereditäre und idiopathische Neuropathie"
"G600","Hereditäre sensomotorische Neuropathie"
"G601","Refsum-Krankheit"
"G602","Neuropathie in Verbindung mit hereditärer Ataxie"
"G603","Idiopathische progressive Neuropathie"
"G608","Sonstige hereditäre und idiopathische Neuropathien"
"G609","Hereditäre und idiopathische Neuropathie, nicht näher bezeichnet"
"G61","Polyneuritis"
"G610","Guillain-Barré-Syndrom"
"G611","Serumpolyneuropathie"
"G618","Sonstige Polyneuritiden"
"G619","Polyneuritis, nicht näher bezeichnet"
"G62","Sonstige Polyneuropathien"
"G620","Arzneimittelinduzierte Polyneuropathie"
"G621","Alkohol-Polyneuropathie"
"G622","Polyneuropathie durch sonstige toxische Agenzien"
"G628","Sonstige näher bezeichnete Polyneuropathien"
"G6280","Critical-illness-Polyneuropathie"
"G6288","Sonstige näher bezeichnete Polyneuropathien"
"G629","Polyneuropathie, nicht näher bezeichnet"
"G63","Polyneuropathie bei anderenorts klassifizierten Krankheiten"
"G630","Polyneuropathie bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"G631","Polyneuropathie bei Neubildungen"
"G632","Diabetische Polyneuropathie"
"G633","Polyneuropathie bei sonstigen endokrinen und Stoffwechselkrankheiten"
"G634","Polyneuropathie bei alimentären Mangelzuständen"
"G635","Polyneuropathie bei Systemkrankheiten des Bindegewebes"
"G636","Polyneuropathie bei sonstigen Krankheiten des Muskel-Skelett-Systems"
"G638","Polyneuropathie bei sonstigen anderenorts klassifizierten Krankheiten"
"G64","Sonstige Krankheiten des peripheren Nervensystems"
"G70","Myasthenia gravis und sonstige neuromuskuläre Krankheiten"
"G700","Myasthenia gravis"
"G701","Toxische neuromuskuläre Krankheiten"
"G702","Angeborene oder entwicklungsbedingte Myasthenie"
"G708","Sonstige näher bezeichnete neuromuskuläre Krankheiten"
"G709","Neuromuskuläre Krankheit, nicht näher bezeichnet"
"G71","Primäre Myopathien"
"G710","Muskeldystrophie"
"G711","Myotone Syndrome"
"G712","Angeborene Myopathien"
"G713","Mitochondriale Myopathie, anderenorts nicht klassifiziert"
"G718","Sonstige primäre Myopathien"
"G719","Primäre Myopathie, nicht näher bezeichnet"
"G72","Sonstige Myopathien"
"G720","Arzneimittelinduzierte Myopathie"
"G721","Alkoholmyopathie"
"G722","Myopathie durch sonstige toxische Agenzien"
"G723","Periodische Lähmung"
"G724","Entzündliche Myopathie, anderenorts nicht klassifiziert"
"G728","Sonstige näher bezeichnete Myopathien"
"G7280","Critical-illness-Myopathie"
"G7288","Sonstige näher bezeichnete Myopathien"
"G729","Myopathie, nicht näher bezeichnet"
"G73","Krankheiten im Bereich der neuromuskulären Synapse und des Muskels bei anderenorts klassifizierten Krankheiten"
"G730","Myastheniesyndrome bei endokrinen Krankheiten"
"G731","Lambert-Eaton-Syndrom"
"G732","Sonstige Myastheniesyndrome bei Neubildungen"
"G733","Myastheniesyndrome bei sonstigen anderenorts klassifizierten Krankheiten"
"G734","Myopathie bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"G735","Myopathie bei endokrinen Krankheiten"
"G736","Myopathie bei Stoffwechselkrankheiten"
"G737","Myopathie bei sonstigen anderenorts klassifizierten Krankheiten"
"G80","Infantile Zerebralparese"
"G800","Spastische tetraplegische Zerebralparese"
"G801","Spastische diplegische Zerebralparese"
"G802","Infantile hemiplegische Zerebralparese"
"G803","Dyskinetische Zerebralparese"
"G804","Ataktische Zerebralparese"
"G808","Sonstige infantile Zerebralparese"
"G809","Infantile Zerebralparese, nicht näher bezeichnet"
"G81","Hemiparese und Hemiplegie"
"G810","Schlaffe Hemiparese und Hemiplegie"
"G811","Spastische Hemiparese und Hemiplegie"
"G819","Hemiparese und Hemiplegie, nicht näher bezeichnet"
"G82","Paraparese und Paraplegie, Tetraparese und Tetraplegie"
"G820","Schlaffe Paraparese und Paraplegie"
"G8200","Schlaffe Paraparese und Paraplegie: Akute komplette Querschnittlähmung nichttraumatischer Genese"
"G8201","Schlaffe Paraparese und Paraplegie: Akute inkomplette Querschnittlähmung nichttraumatischer Genese"
"G8202","Schlaffe Paraparese und Paraplegie: Chronische komplette Querschnittlähmung"
"G8203","Schlaffe Paraparese und Paraplegie: Chronische inkomplette Querschnittlähmung"
"G8209","Schlaffe Paraparese und Paraplegie: Nicht näher bezeichnet"
"G821","Spastische Paraparese und Paraplegie"
"G8210","Spastische Paraparese und Paraplegie: Akute komplette Querschnittlähmung nichttraumatischer Genese"
"G8211","Spastische Paraparese und Paraplegie: Akute inkomplette Querschnittlähmung nichttraumatischer Genese"
"G8212","Spastische Paraparese und Paraplegie: Chronische komplette Querschnittlähmung"
"G8213","Spastische Paraparese und Paraplegie: Chronische inkomplette Querschnittlähmung"
"G8219","Spastische Paraparese und Paraplegie: Nicht näher bezeichnet"
"G822","Paraparese und Paraplegie, nicht näher bezeichnet"
"G8220","Paraparese und Paraplegie, nicht näher bezeichnet: Akute komplette Querschnittlähmung nichttraumatischer Genese"
"G8221","Paraparese und Paraplegie, nicht näher bezeichnet: Akute inkomplette Querschnittlähmung nichttraumatischer Genese"
"G8222","Paraparese und Paraplegie, nicht näher bezeichnet: Chronische komplette Querschnittlähmung"
"G8223","Paraparese und Paraplegie, nicht näher bezeichnet: Chronische inkomplette Querschnittlähmung"
"G8229","Paraparese und Paraplegie, nicht näher bezeichnet: Nicht näher bezeichnet"
"G823","Schlaffe Tetraparese und Tetraplegie"
"G8230","Schlaffe Tetraparese und Tetraplegie: Akute komplette Querschnittlähmung nichttraumatischer Genese"
"G8231","Schlaffe Tetraparese und Tetraplegie: Akute inkomplette Querschnittlähmung nichttraumatischer Genese"
"G8232","Schlaffe Tetraparese und Tetraplegie: Chronische komplette Querschnittlähmung"
"G8233","Schlaffe Tetraparese und Tetraplegie: Chronische inkomplette Querschnittlähmung"
"G8239","Schlaffe Tetraparese und Tetraplegie: Nicht näher bezeichnet"
"G824","Spastische Tetraparese und Tetraplegie"
"G8240","Spastische Tetraparese und Tetraplegie: Akute komplette Querschnittlähmung nichttraumatischer Genese"
"G8241","Spastische Tetraparese und Tetraplegie: Akute inkomplette Querschnittlähmung nichttraumatischer Genese"
"G8242","Spastische Tetraparese und Tetraplegie: Chronische komplette Querschnittlähmung"
"G8243","Spastische Tetraparese und Tetraplegie: Chronische inkomplette Querschnittlähmung"
"G8249","Spastische Tetraparese und Tetraplegie: Nicht näher bezeichnet"
"G825","Tetraparese und Tetraplegie, nicht näher bezeichnet"
"G8250","Tetraparese und Tetraplegie, nicht näher bezeichnet: Akute komplette Querschnittlähmung nichttraumatischer Genese"
"G8251","Tetraparese und Tetraplegie, nicht näher bezeichnet: Akute inkomplette Querschnittlähmung nichttraumatischer Genese"
"G8252","Tetraparese und Tetraplegie, nicht näher bezeichnet: Chronische komplette Querschnittlähmung"
"G8253","Tetraparese und Tetraplegie, nicht näher bezeichnet: Chronische inkomplette Querschnittlähmung"
"G8259","Tetraparese und Tetraplegie, nicht näher bezeichnet: Nicht näher bezeichnet"
"G826","Funktionale Höhe der Schädigung des Rückenmarkes"
"G8260","Funktionale Höhe der Schädigung des Rückenmarkes: C1-C3"
"G8261","Funktionale Höhe der Schädigung des Rückenmarkes: C4-C5"
"G8262","Funktionale Höhe der Schädigung des Rückenmarkes: C6-C8"
"G8263","Funktionale Höhe der Schädigung des Rückenmarkes: T1-T6"
"G8264","Funktionale Höhe der Schädigung des Rückenmarkes: T7-T10"
"G8265","Funktionale Höhe der Schädigung des Rückenmarkes: T11-L1"
"G8266","Funktionale Höhe der Schädigung des Rückenmarkes: L2-S1"
"G8267","Funktionale Höhe der Schädigung des Rückenmarkes: S2-S5"
"G8269","Funktionale Höhe der Schädigung des Rückenmarkes: Nicht näher bezeichnet"
"G83","Sonstige Lähmungssyndrome"
"G830","Diparese und Diplegie der oberen Extremitäten"
"G831","Monoparese und Monoplegie einer unteren Extremität"
"G832","Monoparese und Monoplegie einer oberen Extremität"
"G833","Monoparese und Monoplegie, nicht näher bezeichnet"
"G834","Cauda- (equina-) Syndrom"
"G8340","Komplettes Cauda- (equina-) Syndrom"
"G8341","Inkomplettes Cauda- (equina-) Syndrom"
"G8349","Cauda- (equina-) Syndrom, nicht näher bezeichnet"
"G835","Locked-in-Syndrom"
"G836","Zentrale faziale Parese"
"G838","Sonstige näher bezeichnete Lähmungssyndrome"
"G839","Lähmungssyndrom, nicht näher bezeichnet"
"G90","Krankheiten des autonomen Nervensystems"
"G900","Idiopathische periphere autonome Neuropathie"
"G9000","Karotissinus-Syndrom (Synkope)"
"G9008","Sonstige idiopathische periphere autonome Neuropathie"
"G9009","Idiopathische periphere autonome Neuropathie, nicht näher bezeichnet"
"G901","Familiäre Dysautonomie [Riley-Day-Syndrom]"
"G902","Horner-Syndrom"
"G904","Autonome Dysreflexie"
"G9040","Autonome Dysreflexie als hypertone Krisen"
"G9041","Autonome Dysreflexie als Schwitzattacken"
"G9048","Sonstige autonome Dysreflexie"
"G9049","Autonome Dysreflexie, nicht näher bezeichnet"
"G905","Komplexes regionales Schmerzsyndrom, Typ I"
"G9050","Komplexes regionales Schmerzsyndrom der oberen Extremität, Typ I"
"G9051","Komplexes regionales Schmerzsyndrom der unteren Extremität, Typ I"
"G9059","Komplexes regionales Schmerzsyndrom, Typ I, Lokalisation nicht näher bezeichnet"
"G906","Komplexes regionales Schmerzsyndrom, Typ II"
"G9060","Komplexes regionales Schmerzsyndrom der oberen Extremität, Typ II"
"G9061","Komplexes regionales Schmerzsyndrom der unteren Extremität, Typ II"
"G9069","Komplexes regionales Schmerzsyndrom, Typ II, Lokalisation nicht näher bezeichnet"
"G907","Komplexes regionales Schmerzsyndrom, sonstiger und nicht näher bezeichneter Typ"
"G9070","Komplexes regionales Schmerzsyndrom der oberen Extremität, sonstiger und nicht näher bezeichneter Typ"
"G9071","Komplexes regionales Schmerzsyndrom der unteren Extremität, sonstiger und nicht näher bezeichneter Typ"
"G9079","Komplexes regionales Schmerzsyndrom, sonstiger und nicht näher bezeichneter Typ, Lokalisation nicht näher bezeichnet"
"G908","Sonstige Krankheiten des autonomen Nervensystems"
"G909","Krankheit des autonomen Nervensystems, nicht näher bezeichnet"
"G91","Hydrozephalus"
"G910","Hydrocephalus communicans"
"G911","Hydrocephalus occlusus"
"G912","Normaldruckhydrozephalus"
"G9120","Idiopathischer Normaldruckhydrozephalus"
"G9121","Sekundärer Normaldruckhydrozephalus"
"G9129","Normaldruckhydrozephalus, nicht näher bezeichnet"
"G913","Posttraumatischer Hydrozephalus, nicht näher bezeichnet"
"G918","Sonstiger Hydrozephalus"
"G919","Hydrozephalus, nicht näher bezeichnet"
"G92","Toxische Enzephalopathie"
"G920","Toxische Enzephalopathie unter Immuntherapie"
"G929","Sonstige und nicht näher bezeichnete toxische Enzephalopathie"
"G93","Sonstige Krankheiten des Gehirns"
"G930","Hirnzysten"
"G931","Anoxische Hirnschädigung, anderenorts nicht klassifiziert"
"G932","Benigne intrakranielle Hypertension [Pseudotumor cerebri]"
"G933","Chronisches Müdigkeitssyndrom [Chronic fatigue syndrome]"
"G934","Enzephalopathie, nicht näher bezeichnet"
"G935","Compressio cerebri"
"G936","Hirnödem"
"G937","Reye-Syndrom"
"G938","Sonstige näher bezeichnete Krankheiten des Gehirns"
"G9380","Apallisches Syndrom"
"G9388","Sonstige näher bezeichnete Krankheiten des Gehirns"
"G939","Krankheit des Gehirns, nicht näher bezeichnet"
"G94","Sonstige Krankheiten des Gehirns bei anderenorts klassifizierten Krankheiten"
"G940","Hydrozephalus bei anderenorts klassifizierten infektiösen und parasitären Krankheiten"
"G941","Hydrozephalus bei Neubildungen"
"G942","Hydrozephalus bei sonstigen anderenorts klassifizierten Krankheiten"
"G943","Enzephalopathie bei sonstigen anderenorts klassifizierten Krankheiten"
"G948","Sonstige näher bezeichnete Krankheiten des Gehirns bei anderenorts klassifizierten Krankheiten"
"G95","Sonstige Krankheiten des Rückenmarkes"
